Date : 2025-10-28 03:59:19
Directory : /Users/changzechuan/DBMSProjects/bytebase
Total : 4102 files,  739077 codes, 55996 comments, 97133 blanks, all 892206 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/db/cassandra/cassandra.go                                                                                              | Go                 |        488 |          2 |         37 |        527 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/db/cassandra/dump.go                                                                                                   | Go                 |          9 |          0 |          4 |         13 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/db/cassandra/sync.go                                                                                                   | Go                 |        303 |         14 |         34 |        351 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/db/clickhouse/clickhouse.go                                                                                            | Go                 |        178 |         17 |         29 |        224 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/db/clickhouse/dump.go                                                                                                  | Go                 |        158 |         13 |         20 |        191 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/db/clickhouse/query.go                                                                                                 | Go                 |        230 |          7 |         15 |        252 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/db/clickhouse/role.go                                                                                                  | Go                 |         34 |          1 |          6 |         41 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/db/clickhouse/sync.go                                                                                                  | Go                 |        219 |         17 |         13 |        249 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/db/cockroachdb/cockroachdb.go                                                                                          | Go                 |        620 |         50 |         86 |        756 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/db/cockroachdb/cockroachdb_test.go                                                                                     | Go                 |         82 |          0 |          7 |         89 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/db/cockroachdb/dump.go                                                                                                 | Go                 |         76 |          2 |         15 |         93 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/db/cockroachdb/query.go                                                                                                | Go                 |        153 |          5 |          9 |        167 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/db/cockroachdb/role.go                                                                                                 | Go                 |         82 |          0 |          7 |         89 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/db/cockroachdb/stats.go                                                                                                | Go                 |         45 |         12 |          9 |         66 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/db/cockroachdb/sync.go                                                                                                 | Go                 |        810 |         30 |         92 |        932 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/db/cockroachdb/sync_test.go                                                                                            | Go                 |         40 |          0 |          5 |         45 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/db/cosmosdb/cosmosdb.go                                                                                                | Go                 |        117 |         12 |         24 |        153 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/db/cosmosdb/sync.go                                                                                                    | Go                 |         52 |          6 |          6 |         64 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/db/databricks/databricks.go                                                                                            | Go                 |        187 |         26 |         39 |        252 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/db/databricks/dump.go                                                                                                  | Go                 |        188 |          1 |         27 |        216 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/db/databricks/role.go                                                                                                  | Go                 |          1 |          0 |          1 |          2 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/db/databricks/sync.go                                                                                                  | Go                 |        207 |         14 |         29 |        250 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/db/driver.go                                                                                                           | Go                 |        281 |         46 |         42 |        369 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/db/dynamodb/dump.go                                                                                                    | Go                 |          9 |          1 |          4 |         14 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/db/dynamodb/dynamodb.go                                                                                                | Go                 |        370 |         31 |         25 |        426 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/db/dynamodb/role.go                                                                                                    | Go                 |          1 |          0 |          1 |          2 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/db/dynamodb/sync.go                                                                                                    | Go                 |        143 |          8 |         14 |        165 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/db/elasticsearch/dump.go                                                                                               | Go                 |          9 |          1 |          4 |         14 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/db/elasticsearch/elasticsearch.go                                                                                      | Go                 |        378 |         57 |         69 |        504 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/db/elasticsearch/elasticsearch_test.go                                                                                 | Go                 |        108 |          5 |         13 |        126 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/db/elasticsearch/role.go                                                                                               | Go                 |         97 |          5 |         16 |        118 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/db/elasticsearch/sync.go                                                                                               | Go                 |        234 |         20 |         49 |        303 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/db/hive/dump.go                                                                                                        | Go                 |        269 |         31 |         51 |        351 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/db/hive/hive.go                                                                                                        | Go                 |        191 |         18 |         41 |        250 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/db/hive/sync.go                                                                                                        | Go                 |        279 |         19 |         33 |        331 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/db/mongodb/mongodb.go                                                                                                  | Go                 |        359 |         44 |         45 |        448 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/db/mongodb/mongodb_test.go                                                                                             | Go                 |        214 |          0 |         12 |        226 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/db/mongodb/role.go                                                                                                     | Go                 |         36 |          2 |          6 |         44 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/db/mongodb/sync.go                                                                                                     | Go                 |        313 |         19 |         30 |        362 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/db/mssql/dump.go                                                                                                       | Go                 |         16 |          1 |          5 |         22 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/db/mssql/mssql.go                                                                                                      | Go                 |        520 |         50 |         57 |        627 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/db/mssql/query.go                                                                                                      | Go                 |        324 |         22 |         38 |        384 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/db/mssql/query_test.go                                                                                                 | Go                 |         44 |          0 |          9 |         53 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/db/mssql/stats.go                                                                                                      | Go                 |         49 |          3 |          6 |         58 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/db/mssql/stmt_type.go                                                                                                  | Go                 |         69 |          3 |          9 |         81 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/db/mssql/sync.go                                                                                                       | Go                 |      1,523 |        112 |        136 |      1,771 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/db/mssql/sync_spatial_testcontainer_test.go                                                                            | Go                 |        669 |         98 |        115 |        882 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/db/mssql/test-data/test_limit.yaml                                                                                     | YAML               |        349 |          0 |          5 |        354 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/db/mysql/dump.go                                                                                                       | Go                 |         18 |          1 |          6 |         25 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/db/mysql/mysql.go                                                                                                      | Go                 |        496 |         47 |         80 |        623 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/db/mysql/mysql_test.go                                                                                                 | Go                 |        109 |          0 |          7 |        116 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/db/mysql/query.go                                                                                                      | Go                 |        164 |          3 |         16 |        183 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/db/mysql/query_test.go                                                                                                 | Go                 |         94 |          6 |          5 |        105 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/db/mysql/role.go                                                                                                       | Go                 |        119 |          6 |         10 |        135 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/db/mysql/stats.go                                                                                                      | Go                 |        118 |         16 |         11 |        145 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/db/mysql/sync.go                                                                                                       | Go                 |      1,245 |         79 |        103 |      1,427 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/db/mysql/sync_test.go                                                                                                  | Go                 |        363 |         76 |          8 |        447 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/db/mysql/synonyms.go                                                                                                   | Go                 |         20 |          7 |          7 |         34 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/db/oracle/dump.go                                                                                                      | Go                 |         15 |          1 |          4 |         20 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/db/oracle/oracle.go                                                                                                    | Go                 |        264 |         23 |         34 |        321 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/db/oracle/oracle_test.go                                                                                               | Go                 |         31 |          0 |          6 |         37 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/db/oracle/query.go                                                                                                     | Go                 |        355 |         49 |         60 |        464 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/db/oracle/query_test.go                                                                                                | Go                 |         44 |          0 |          9 |         53 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/db/oracle/stats.go                                                                                                     | Go                 |         57 |          7 |          5 |         69 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/db/oracle/sync.go                                                                                                      | Go                 |      1,349 |         90 |        153 |      1,592 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/db/oracle/test-data/test_limit.yaml                                                                                    | YAML               |        308 |          0 |          1 |        309 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/db/pg/dump.go                                                                                                          | Go                 |         19 |          1 |          6 |         26 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/db/pg/pg.go                                                                                                            | Go                 |        742 |         71 |        107 |        920 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/db/pg/pg_test.go                                                                                                       | Go                 |         47 |          0 |          5 |         52 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/db/pg/query.go                                                                                                         | Go                 |        285 |         33 |         35 |        353 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/db/pg/query_limit_test.go                                                                                              | Go                 |        190 |          6 |          8 |        204 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/db/pg/query_test.go                                                                                                    | Go                 |         84 |          0 |          5 |         89 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/db/pg/role.go                                                                                                          | Go                 |         78 |          0 |          5 |         83 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/db/pg/stats.go                                                                                                         | Go                 |         41 |         12 |          8 |         61 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/db/pg/sync.go                                                                                                          | Go                 |      1,416 |         56 |        144 |      1,616 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/db/pg/sync_column_default_test.go                                                                                      | Go                 |        271 |         25 |         56 |        352 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/db/pg/sync_test.go                                                                                                     | Go                 |         40 |          0 |          5 |         45 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/db/redis/redis.go                                                                                                      | Go                 |        321 |         12 |         32 |        365 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/db/redis/sync.go                                                                                                       | Go                 |        112 |          7 |         16 |        135 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/db/redshift/dump.go                                                                                                    | Go                 |          9 |          2 |          4 |         15 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/db/redshift/query.go                                                                                                   | Go                 |        153 |          5 |          9 |        167 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/db/redshift/redshift.go                                                                                                | Go                 |        376 |         32 |         46 |        454 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/db/redshift/role.go                                                                                                    | Go                 |         85 |          1 |          5 |         91 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/db/redshift/stats.go                                                                                                   | Go                 |         41 |          9 |          8 |         58 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/db/redshift/sync.go                                                                                                    | Go                 |        653 |         41 |         71 |        765 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/db/redshift/sync_test.go                                                                                               | Go                 |         30 |          0 |          5 |         35 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/db/snowflake/dump.go                                                                                                   | Go                 |         96 |         13 |         20 |        129 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/db/snowflake/query.go                                                                                                  | Go                 |        112 |          3 |         17 |        132 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/db/snowflake/query_test.go                                                                                             | Go                 |         44 |          0 |          9 |         53 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/db/snowflake/role.go                                                                                                   | Go                 |         64 |          3 |          7 |         74 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/db/snowflake/snowflake.go                                                                                              | Go                 |        361 |         35 |         48 |        444 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/db/snowflake/snowflake_test.go                                                                                         | Go                 |         73 |          1 |          5 |         79 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/db/snowflake/sync.go                                                                                                   | Go                 |        491 |         30 |         40 |        561 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/db/snowflake/test-data/test_limit.yaml                                                                                 | YAML               |        142 |          8 |          2 |        152 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/db/spanner/dump.go                                                                                                     | Go                 |         47 |          1 |          6 |         54 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/db/spanner/spanner.go                                                                                                  | Go                 |        361 |         18 |         49 |        428 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/db/spanner/spanner_test.go                                                                                             | Go                 |         75 |          0 |          5 |         80 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/db/spanner/sync.go                                                                                                     | Go                 |        338 |          7 |         27 |        372 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/db/sqlite/dump.go                                                                                                      | Go                 |         76 |          4 |         13 |         93 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/db/sqlite/sqlite.go                                                                                                    | Go                 |        140 |         16 |         21 |        177 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/db/sqlite/sync.go                                                                                                      | Go                 |        218 |          7 |         28 |        253 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/db/starrocks/dump.go                                                                                                   | Go                 |        456 |         58 |         40 |        554 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/db/starrocks/dump_test.go                                                                                              | Go                 |         11 |          0 |          4 |         15 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/db/starrocks/query.go                                                                                                  | Go                 |        162 |          5 |         17 |        184 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/db/starrocks/query_test.go                                                                                             | Go                 |        124 |          7 |          5 |        136 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/db/starrocks/starrocks.go                                                                                              | Go                 |        305 |         24 |         42 |        371 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/db/starrocks/starrocks_test.go                                                                                         | Go                 |         40 |          0 |          5 |         45 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/db/starrocks/sync.go                                                                                                   | Go                 |        331 |         30 |         22 |        383 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/db/tidb/dump.go                                                                                                        | Go                 |         18 |          1 |          6 |         25 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/db/tidb/query.go                                                                                                       | Go                 |        157 |          0 |          9 |        166 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/db/tidb/query_test.go                                                                                                  | Go                 |         57 |          0 |          5 |         62 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/db/tidb/role.go                                                                                                        | Go                 |        119 |          6 |         10 |        135 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/db/tidb/stats.go                                                                                                       | Go                 |         42 |         14 |          6 |         62 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/db/tidb/sync.go                                                                                                        | Go                 |        761 |         55 |         76 |        892 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/db/tidb/sync_test.go                                                                                                   | Go                 |        263 |         51 |         12 |        326 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/db/tidb/tidb.go                                                                                                        | Go                 |        418 |         33 |         60 |        511 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/db/tidb/tidb_test.go                                                                                                   | Go                 |         57 |          0 |          7 |         64 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/db/trino/dump.go                                                                                                       | Go                 |         16 |          1 |          6 |         23 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/db/trino/query.go                                                                                                      | Go                 |         83 |          0 |          6 |         89 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/db/trino/sync.go                                                                                                       | Go                 |        152 |          6 |         38 |        196 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/db/trino/trino.go                                                                                                      | Go                 |        198 |         19 |         49 |        266 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/db/util/aws.go                                                                                                         | Go                 |         76 |         22 |         26 |        124 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/db/util/connection.go                                                                                                  | Go                 |         47 |          1 |          9 |         57 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/db/util/driverutil.go                                                                                                  | Go                 |        169 |          9 |         19 |        197 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/db/util/sasl.go                                                                                                        | Go                 |         82 |         20 |         11 |        113 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/db/util/ssh.go                                                                                                         | Go                 |         53 |          9 |         10 |         72 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/db/util/ssl.go                                                                                                         | Go                 |         91 |         26 |         20 |        137 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/db/util/statement_parser.go                                                                                            | Go                 |        202 |         15 |          9 |        226 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/db/util/statement_parser_test.go                                                                                       | Go                 |        433 |         38 |         24 |        495 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/idp/ldap/ldap.go                                                                                                       | Go                 |        127 |         25 |         16 |        168 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/idp/ldap/ldap_test.go                                                                                                  | Go                 |        237 |          6 |         14 |        257 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/idp/oauth2/oauth2.go                                                                                                   | Go                 |        117 |          6 |         14 |        137 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/idp/oauth2/oauth2_test.go                                                                                              | Go                 |        214 |          0 |         27 |        241 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/idp/oidc/oidc.go                                                                                                       | Go                 |        190 |         32 |         27 |        249 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/idp/oidc/oidc_test.go                                                                                                  | Go                 |        384 |          1 |         40 |        425 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/idp/util.go                                                                                                            | Go                 |         13 |          2 |          5 |         20 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/idp/util_test.go                                                                                                       | Go                 |         63 |          0 |          7 |         70 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/metric/collector.go                                                                                                    | Go                 |          7 |          1 |          3 |         11 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/metric/metric.go                                                                                                       | Go                 |         13 |          4 |          4 |         21 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/metric/reporter.go                                                                                                     | Go                 |          6 |          1 |          2 |          9 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/metric/segment/mock.go                                                                                                 | Go                 |         15 |          5 |          7 |         27 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/metric/segment/reporter.go                                                                                             | Go                 |         62 |          7 |         18 |         87 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/parser/base/backup.go                                                                                                  | Go                 |         12 |          0 |          4 |         16 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/parser/base/base.go                                                                                                    | Go                 |        112 |         22 |         18 |        152 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/parser/base/c3.go                                                                                                      | Go                 |        518 |         59 |         78 |        655 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/parser/base/complete.go                                                                                                | Go                 |         69 |          3 |         15 |         87 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/parser/base/diagnose.go                                                                                                | Go                 |         63 |         14 |         12 |         89 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/parser/base/diagnose_test.go                                                                                           | Go                 |         78 |          9 |          6 |         93 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/parser/base/diff.go                                                                                                    | Go                 |          5 |          1 |          2 |          8 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/parser/base/interface.go                                                                                               | Go                 |        287 |         42 |         39 |        368 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/parser/base/interface_test.go                                                                                          | Go                 |         61 |          0 |          4 |         65 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/parser/base/json_path.go                                                                                               | Go                 |        103 |          0 |         20 |        123 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/parser/base/json_path_test.go                                                                                          | Go                 |         35 |          0 |          8 |         43 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/parser/base/lexer.go                                                                                                   | Go                 |         46 |          2 |          8 |         56 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/parser/base/query.go                                                                                                   | Go                 |         27 |          4 |          6 |         37 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/parser/base/restore.go                                                                                                 | Go                 |          7 |          0 |          2 |          9 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/parser/base/scanner.go                                                                                                 | Go                 |        143 |         44 |         32 |        219 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/parser/base/span.go                                                                                                    | Go                 |        312 |         68 |         57 |        437 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/parser/base/statement_ranges.go                                                                                        | Go                 |         78 |         28 |         14 |        120 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/parser/base/strings.go                                                                                                 | Go                 |         50 |          0 |         11 |         61 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/parser/base/topo_sort.go                                                                                               | Go                 |         64 |          0 |         15 |         79 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/parser/base/transaction_mode.go                                                                                        | Go                 |         72 |         27 |         17 |        116 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/parser/base/transform.go                                                                                               | Go                 |          9 |          0 |          2 |         11 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/parser/bigquery/bigquery.go                                                                                            | Go                 |         42 |          2 |         15 |         59 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/parser/bigquery/dignose.go                                                                                             | Go                 |         50 |          2 |         14 |         66 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/parser/bigquery/query_span.go                                                                                          | Go                 |         22 |          3 |          5 |         30 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/parser/bigquery/query_span_extractor.go                                                                                | Go                 |      1,058 |         98 |        106 |      1,262 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/parser/bigquery/query_span_test.go                                                                                     | Go                 |        132 |          4 |         20 |        156 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/parser/bigquery/query_type.go                                                                                          | Go                 |         44 |          2 |          7 |         53 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/parser/bigquery/split.go                                                                                               | Go                 |         51 |          0 |          8 |         59 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/parser/bigquery/split_test.go                                                                                          | Go                 |         60 |          0 |          8 |         68 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/parser/bigquery/test-data/query-span/standard.yaml                                                                     | YAML               |        991 |          0 |          1 |        992 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/parser/cassandra/query_span.go                                                                                         | Go                 |         40 |          2 |         13 |         55 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/parser/cassandra/query_span_extractor.go                                                                               | Go                 |        378 |         62 |         73 |        513 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/parser/cassandra/query_span_test.go                                                                                    | Go                 |        617 |         22 |         33 |        672 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/parser/cassandra/split.go                                                                                              | Go                 |         28 |          4 |          8 |         40 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/parser/cockroachdb/cockroachdb.go                                                                                      | Go                 |         52 |          3 |         10 |         65 |
| /Users/changzechuan/DBMSProjects/bytebase/backend/plugin/parser/cockroachdb/cockroachdb_test.go                                                                                 | Go                 |         36 |          0 |         10 |         46 |
